Unnamed: 13,allowed_keys,date,expName,frameRate,img,limit_chars,participant,que,resp,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
,[],2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides0.jpg,"[1, 140]",9,debrief, דחיב דיהו חומה לש הדובעה תא קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides5.jpg,"[1, 1]",9,degree,1,2,2,0,2
,[],2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides6.jpg,"[1, 140]",9,faculty,יגוח דח היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides7.jpg,"[1, 3]",9,gpa,100,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides2.jpg,"[1, 1]",9,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides3.jpg,"[1, 2]",9,age,21,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides4.jpg,"[3, 3]",9,sat,616,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides8.jpg,"[1, 1]",9,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides9.jpg,"[1, 1]",9,adhd,2,9,9,0,9
,[],2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides10.jpg,"[1, 140]",9,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides11.jpg,"[1, 1]",9,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides13.jpg,"[1, 1]",9,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1112,demog_exp,119.717730146,Slides\Slides12.jpg,"[1, 1]",9,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides1.jpg,"[0, 0]",10,intro,,0,0,0,0
,[],2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides0.jpg,"[1, 140]",10,debrief,בשק תקידב,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides5.jpg,"[1, 1]",10,degree,1,2,2,0,2
,[],2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides6.jpg,"[1, 140]",10,faculty,הלכלכ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides7.jpg,"[1, 3]",10,gpa,87,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides2.jpg,"[1, 1]",10,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides3.jpg,"[1, 2]",10,age,28,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides4.jpg,"[3, 3]",10,sat,715,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides8.jpg,"[1, 1]",10,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides9.jpg,"[1, 1]",10,adhd,2,9,9,0,9
,[],2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides10.jpg,"[1, 140]",10,lang,תירבע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides11.jpg,"[1, 1]",10,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides13.jpg,"[1, 1]",10,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1123,demog_exp,119.878763848,Slides\Slides12.jpg,"[1, 1]",10,credit_or_payment,2,13,13,0,13
,['return'],2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides1.jpg,"[0, 0]",11,intro,,0,0,0,0
,[],2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides0.jpg,"[1, 140]",11,debrief,הרוחאמ יל וא רפסמל הנפומ אוה םאה ילש בשקה תא קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides5.jpg,"[1, 1]",11,degree,1,2,2,0,2
,[],2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides6.jpg,"[1, 140]",11,faculty,הלכלכ היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides7.jpg,"[1, 3]",11,gpa,98,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides2.jpg,"[1, 1]",11,sex,2,5,5,0,5
